model,parameter,value
catboost_classification,learning_rate,0.11536162338241392
catboost_classification,depth,4.0
catboost_classification,l2_leaf_reg,0.005337032762603957
catboost_classification,subsample,0.5917022549267169
catboost_regression,learning_rate,0.030834348179355788
catboost_regression,depth,8.0
catboost_regression,l2_leaf_reg,0.0012087541473056963
catboost_regression,subsample,0.9849549260809971
hist_gradient_boosting_classification,learning_rate,0.0024348773534554596
hist_gradient_boosting_classification,max_leaf_nodes,32.0
hist_gradient_boosting_classification,l2_regularization,0.0017073967431528124
hist_gradient_boosting_classification,min_samples_leaf,88.0
hist_gradient_boosting_regression,learning_rate,0.008468008575248327
hist_gradient_boosting_regression,max_leaf_nodes,122.0
hist_gradient_boosting_regression,l2_regularization,0.8471801418819978
hist_gradient_boosting_regression,min_samples_leaf,64.0
